"time","close","high","low","open","volumefrom","volumeto","conversionType","conversionSymbol","ts","timeDate"
1616382000000,57602.17,57827.82,56965.99,56965.99,10300.3,592186780.07,"direct","",1616382000,"2021-03-21"
1616392800000,57206.55,57888.9,57100.84,57602.17,9802.85,564660445.31,"direct","",1616392800,"2021-03-22"
1616403600000,57710.62,58418.51,57045.09,57206.55,16954.29,980157082.24,"direct","",1616403600,"2021-03-22"
1616414400000,56986.22,57753.49,56582.01,57710.62,17499.52,999795378.58,"direct","",1616414400,"2021-03-22"
1616425200000,57073.94,57217.05,56205.85,56986.22,12608.94,716560270.25,"direct","",1616425200,"2021-03-22"
1616436000000,54499.24,57156.69,54379.61,57073.94,23088.81,1284303047.35,"direct","",1616436000,"2021-03-22"
1616446800000,54078.39,54926.27,53749.28,54499.24,21078.05,1147314884.67,"direct","",1616446800,"2021-03-22"
1616457600000,54558.48,55321.69,53798.15,54078.39,16490.7,902395388.02,"direct","",1616457600,"2021-03-22"
1616468400000,53527.59,54769.51,53138.63,54558.48,17773.42,959804355.92,"direct","",1616468400,"2021-03-22"
1616479200000,54308.59,54475.88,53012.41,53527.59,17595.86,945087353.75,"direct","",1616479200,"2021-03-23"
1616490000000,54219,54825.57,54091.13,54308.59,12099.51,659495295.93,"direct","",1616490000,"2021-03-23"
1616500800000,55166.21,55439.41,54219,54219,16677.88,918729528.1,"direct","",1616500800,"2021-03-23"
1616511600000,55710.77,55759.75,54843.66,55166.21,14392.62,796915047.8,"direct","",1616511600,"2021-03-23"
1616522400000,54450.85,55827.29,54326.86,55710.77,13039.28,718554427.05,"direct","",1616522400,"2021-03-23"
1616533200000,54353.24,54879.41,54199.23,54450.85,10792.33,588797455.35,"direct","",1616533200,"2021-03-23"
1616544000000,54430.23,54661.57,53523.81,54353.24,14802.57,801707257.16,"direct","",1616544000,"2021-03-23"
1616554800000,54133.95,54755.84,53792.15,54430.23,10938.66,593502936.74,"direct","",1616554800,"2021-03-23"
1616565600000,56271.63,56339.95,53714.51,54133.95,25080.75,1386834820.34,"direct","",1616565600,"2021-03-24"
1616576400000,56562.47,56656.97,56036.29,56271.63,15439.42,870727782.72,"direct","",1616576400,"2021-03-24"
1616587200000,56527.79,57189.61,56389.22,56562.47,17220.38,978293561.96,"direct","",1616587200,"2021-03-24"
1616598000000,56141.32,56635.56,55593.93,56527.79,14847.51,833330881.46,"direct","",1616598000,"2021-03-24"
1616608800000,54060.03,56361.91,53229.97,56141.32,23195.71,1266585667.04,"direct","",1616608800,"2021-03-24"
1616619600000,52304.91,54229.96,51954.75,54060.03,30661.01,1619235959.05,"direct","",1616619600,"2021-03-24"
1616630400000,52247.87,52867.99,51513.24,52304.91,17774.28,929163417.32,"direct","",1616630400,"2021-03-24"
1616641200000,52691.49,52842.57,51826.27,52247.87,12758.06,668486987.05,"direct","",1616641200,"2021-03-24"
1616652000000,52611.12,53257.22,52105.49,52691.49,14997.13,790562126.82,"direct","",1616652000,"2021-03-25"
1616662800000,52157.4,53141.73,52143.5,52611.12,14076.06,742390306.55,"direct","",1616662800,"2021-03-25"
1616673600000,51280.94,52372.93,50470.37,52157.4,41355.57,2120403494.46,"direct","",1616673600,"2021-03-25"
1616684400000,51629.79,51804.32,50568.55,51280.94,27404.71,1402505004.63,"direct","",1616684400,"2021-03-25"
1616695200000,51979.43,52682.23,51511.39,51629.79,17092.89,890548061.26,"direct","",1616695200,"2021-03-25"
1616706000000,51302.69,52706.14,51228.12,51979.43,15220.53,791515679.35,"direct","",1616706000,"2021-03-25"
1616716800000,51692.98,52362.46,51227.64,51302.69,17151.58,891506345.63,"direct","",1616716800,"2021-03-25"
1616727600000,52810.84,52884.67,51692.98,51692.98,17874.56,937968233.84,"direct","",1616727600,"2021-03-25"
1616738400000,53364.28,53818.86,52407.27,52810.84,24330.69,1293668267.79,"direct","",1616738400,"2021-03-26"
1616749200000,52708.15,53586.45,52616.57,53364.28,20038.57,1064792720.25,"direct","",1616749200,"2021-03-26"
1616760000000,53408.75,53479.83,52551.92,52708.15,16358.35,867874131.32,"direct","",1616760000,"2021-03-26"
1616770800000,53819.93,54014.57,52928.48,53408.75,20279.45,1087168196.89,"direct","",1616770800,"2021-03-26"
1616781600000,53957.84,54253.52,53467.67,53819.93,14141.44,760813061.29,"direct","",1616781600,"2021-03-26"
1616792400000,55023.9,55062.44,53955.74,53957.84,13695.34,747117913.52,"direct","",1616792400,"2021-03-26"
1616803200000,54750.82,55532.68,54505.07,55023.9,15451.89,849387820.16,"direct","",1616803200,"2021-03-26"
1616814000000,55174.83,55353.46,54564.14,54750.82,10846.12,595803325.72,"direct","",1616814000,"2021-03-26"
1616824800000,54924.42,55272.44,54658.14,55174.83,12620.33,693364619.97,"direct","",1616824800,"2021-03-27"
1616835600000,54444.05,55103.08,54320.14,54924.42,11282.62,617406824.16,"direct","",1616835600,"2021-03-27"
1616846400000,54627.81,54835.92,53972.59,54444.05,13044.97,709042049.71,"direct","",1616846400,"2021-03-27"
1616857200000,56078.21,56261.88,54513.06,54627.81,20154.92,1120260291.93,"direct","",1616857200,"2021-03-27"
1616868000000,55860.96,56083.19,55565.76,56078.21,12737.28,710642239.56,"direct","",1616868000,"2021-03-27"
1616878800000,55842.65,56648.24,55684.6,55860.96,20593.56,1156572563.65,"direct","",1616878800,"2021-03-27"
1616889600000,55794.96,56175.56,55578.49,55842.65,17386.97,971876966,"direct","",1616889600,"2021-03-27"
1616900400000,56262.79,56477.83,55749.24,55794.96,17606.1,988494650.07,"direct","",1616900400,"2021-03-27"
1616911200000,56292.84,56312.1,55832.91,56262.79,18628.41,1045042770.74,"direct","",1616911200,"2021-03-28"
1616922000000,55789.07,56534.52,55699.52,56292.84,19642.85,1101467373.95,"direct","",1616922000,"2021-03-28"
1616932800000,55794.8,55989.61,55293.82,55789.07,14837.34,825701023.53,"direct","",1616932800,"2021-03-28"
1616943600000,55967.73,56479.81,55658.09,55794.8,13175.62,739818121.48,"direct","",1616943600,"2021-03-28"
1616954400000,54859.39,56000.4,54698.71,55967.73,15828.71,873573004.47,"direct","",1616954400,"2021-03-28"
